task,feature_set,method,fold,group_a,group_b,centroid_distance,within_scatter,distance_within_ratio
binary_acl_vs_ha,pca_raw_subject,nca,5,ACL,HA,28.298765299836912,9.306736865104536,3.0406753419603696
binary_acl_vs_ha,pca_raw_subject,rf_proba,1,ACL,HA,0.7662559658031081,0.31206412716432413,2.455443926752976
binary_acl_vs_ha,pca_raw_subject,rf_proba,2,ACL,HA,0.8543092155534014,0.2429893081857426,3.515830478024004
binary_acl_vs_ha,pca_raw_subject,rf_proba,3,ACL,HA,0.8388464213407117,0.1695928296735112,4.946237544096664
binary_acl_vs_ha,pca_raw_subject,rf_proba,4,ACL,HA,1.0025063698351357,0.18199754748041103,5.5083509844715834
binary_acl_vs_ha,pca_raw_subject,rf_proba,5,ACL,HA,0.9424711119743442,0.1978476997462426,4.763619254523292
binary_acl_vs_ha,pca_cycle_subject,pca,1,ACL,HA,4.633641850757603,9.090529593603865,0.5097218817721966
binary_acl_vs_ha,pca_cycle_subject,pca,2,ACL,HA,6.419181542768103,7.4050298494213465,0.8668677470989155
binary_acl_vs_ha,pca_cycle_subject,pca,3,ACL,HA,6.605374029116231,8.091771174662366,0.8163075656167259
binary_acl_vs_ha,pca_cycle_subject,pca,4,ACL,HA,8.546533633370364,5.633150694140499,1.517185336841834
binary_acl_vs_ha,pca_cycle_subject,pca,5,ACL,HA,6.834058346534441,6.955767937803292,0.9825023502283073
binary_acl_vs_ha,pca_cycle_subject,lda,1,ACL,HA,0.8608276698925676,3.651031006463768,0.23577659799891112
binary_acl_vs_ha,pca_cycle_subject,lda,2,ACL,HA,4.603703836622012,7.127178633520091,0.6459363618262866
binary_acl_vs_ha,pca_cycle_subject,lda,3,ACL,HA,5.584645213266825,3.2661080981838273,1.70987764194708
binary_acl_vs_ha,pca_cycle_subject,lda,4,ACL,HA,5.689966471271996,4.4353338676331076,1.2828721898016702
binary_acl_vs_ha,pca_cycle_subject,lda,5,ACL,HA,8.827501928149973,4.115135594171396,2.1451302699850494
binary_acl_vs_ha,pca_cycle_subject,plsda,1,ACL,HA,5.994808206727266,8.680166894907375,0.6906328276066213
binary_acl_vs_ha,pca_cycle_subject,plsda,2,ACL,HA,6.115450244184558,6.566983992294578,0.9312418381650038
binary_acl_vs_ha,pca_cycle_subject,plsda,3,ACL,HA,7.1236114119708,7.341278318005287,0.9703502719001084
