feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
slow__hip_adduction_027__min,-0.005381190899829805,0.005470279876973805,-0.010173011437983357,0.006798618425242299,-0.007570316378374035,0.0010115578931104735,0.023844954814867116,0.007779963757945745,-0.011930068908289316,-0.017994207367000057
slow__hip_adduction_027__max,0.004351516463110299,0.01972694974129149,-0.010537302287530418,-0.0006094459511664518,-0.003882293231648506,0.005311830498906579,0.010687873109273698,0.004771198612204843,-3.559985384237229e-05,-0.019867118620714677
slow__hip_adduction_028__mean,0.0005914277198683836,0.01705828058966305,-0.008438435054685138,-0.0020076538979965372,-0.007767115892095266,0.007125897972483714,0.01827183591963452,0.009133143985021264,-0.0036440254311993856,-0.020348459098297127
slow__hip_adduction_028__std,0.011493243677043427,0.011361645610952457,-0.005405309908882155,0.001526434180472382,0.0007351229720862194,0.006143346634969152,-0.014024175378046448,0.0006177179028720581,0.00790299028545821,-0.009612375084983254
slow__hip_adduction_028__min,-0.005610195592287745,0.006245161633062378,-0.009319706057476718,0.005572241621231531,-0.00795026231904738,0.0010822797153657692,0.02419957479272176,0.0075642124493607125,-0.010983851054322554,-0.01772403243040455
slow__hip_adduction_028__max,0.004448881227066194,0.01959672709872583,-0.010418118203568957,-0.00130898940749401,-0.0038131592333067728,0.005261025260915391,0.010758134103050484,0.004139345327046174,-0.0003498098679389044,-0.020287327061178233
slow__hip_adduction_029__mean,0.00039953312695356185,0.01704891982915366,-0.008048319156904838,-0.0023895946215353684,-0.007782481570870836,0.0067804919559195445,0.01856099802631836,0.008769710732206646,-0.00379275984438269,-0.020688715668024087
slow__hip_adduction_029__std,0.011747576703652953,0.01092017732615053,-0.005573891673482771,0.0013199848567254481,0.0011293675120766517,0.006508695617747092,-0.013836546240395325,0.0006833378784833956,0.007282084245504622,-0.0103812751254574
slow__hip_adduction_029__min,-0.005917092999688095,0.006561360771203112,-0.008941239151228186,0.005088937070645387,-0.00824153086290653,0.0007798670704453712,0.024400572225084332,0.0069913053540941895,-0.010381596323898179,-0.017412308796340516
slow__hip_adduction_029__max,0.00452791444383617,0.019443380099100113,-0.0104229706059097,-0.002010407524338943,-0.0037862686068474505,0.005090302168526717,0.010839568117236695,0.0034149941626918905,-0.0006273366089473136,-0.020712691049329962
slow__hip_adduction_030__mean,0.0001984910335009936,0.01706593465970747,-0.007696186817882583,-0.00272613696684431,-0.007779510254537515,0.00631618115725751,0.018828482737566772,0.008377456439769487,-0.0038977104596223154,-0.021039452019372597
slow__hip_adduction_030__std,0.01200033957152777,0.010632621128956675,-0.00567422640712979,0.001078976846352861,0.0015571126947313465,0.00690006931614707,-0.013497969340859374,0.0006514476140944427,0.006869871324213318,-0.010991117226006944
slow__hip_adduction_030__min,-0.0063059262765702805,0.006082202337608074,-0.008999390708178803,0.005725926531281255,-0.008369544653288322,-4.9715178454069034e-05,0.02432600114886039,0.006069765626007913,-0.010595538591297252,-0.017048086786563874
slow__hip_adduction_030__max,0.004535895955967159,0.019322820036939567,-0.010465645791854595,-0.002641309936912519,-0.0037855053719599266,0.004877332002633813,0.010711213344073264,0.0026371660808430274,-0.0009488008730900669,-0.0212265296919896
