feature_raw,feature_description,speed,side,statistic,source_column,feature_category,cycle_point,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
normal__jointAngle_42__std,Right hip adduction,normal,Right,std,jointAngle_42,joint angle,,0.01617255970589744,-0.08906539109681164,0.11932939150285427,0.06872536193731969,0.01554161012581119,-0.013239424558162023,0.016659501048855805,-0.008389208272970317,0.10146236333459553,-0.08691202042621635
normal__jointAngle_42__min,Right hip adduction,normal,Right,min,jointAngle_42,joint angle,,0.02215893908896868,-0.023883681745517468,-0.11297361514303297,0.07628299082563268,-0.05012051556531495,-0.021993168126215493,0.020851237055073333,-0.05207259764552869,-0.024149604778378162,0.04713822358819198
normal__jointAngle_42__max,Right hip adduction,normal,Right,max,jointAngle_42,joint angle,,0.03302978103738186,-0.12366309046418832,0.04629537443851862,0.09501448216108707,-0.03782009133899814,0.010042684417065142,0.03060341428342093,-0.04480452450024332,0.0359301202284207,0.014533758992266669
normal__jointAngle_43__mean,Right hip internal rotation,normal,Right,mean,jointAngle_43,joint angle,,0.00012701237681574473,0.11114992653632454,0.10373306536062792,-0.02546302361291389,0.09900710521371077,0.03467651746590564,0.028725402211948147,-0.11157280556999566,-0.04358719036524163,0.07596524788396752
normal__jointAngle_43__std,Right hip internal rotation,normal,Right,std,jointAngle_43,joint angle,,-0.0055767718122700875,-0.07658196750533676,-0.0031637468931206853,-0.06284950023217897,-0.016659588430956447,0.049623456852622164,-0.04296095049431072,-0.06570026914583554,-0.10802803830990602,-0.05746022238200912
normal__jointAngle_43__min,Right hip internal rotation,normal,Right,min,jointAngle_43,joint angle,,-0.005839391031725358,0.12351780924172655,0.06696877535621507,-0.0003442888034358227,0.08706373332904066,0.016004261184594908,0.043592242858064956,-0.05847597666052893,0.037283533530430533,0.09083097451368331
normal__jointAngle_43__max,Right hip internal rotation,normal,Right,max,jointAngle_43,joint angle,,-0.000643583225794062,0.040474093001455685,0.07712758158793208,-0.03402381748873136,0.04164157621331061,0.011758389044846867,0.047027031139969554,-0.13553761118034058,-0.08573963411041144,0.11651147065585025
normal__jointAngle_44__mean,Right hip flexion,normal,Right,mean,jointAngle_44,joint angle,,0.028427734453263562,0.10901903197937363,0.09514742077276746,0.023751328967080494,-0.12643202723515992,0.0002734539518586514,0.030790240809412187,-0.04559365302204544,0.025132077065180593,-0.10734398917367005
normal__jointAngle_44__std,Right hip flexion,normal,Right,std,jointAngle_44,joint angle,,0.015819219505150146,0.07178908899953311,0.018316887588058394,-0.06937586060175478,-0.044657302826181654,0.13297571763078722,0.02419886645031105,0.012861582755360553,-0.05469208453124929,-0.022682865683402376
normal__jointAngle_44__min,Right hip flexion,normal,Right,min,jointAngle_44,joint angle,,0.02848301827056281,0.06921734413075152,0.0703968900946218,0.0630319174956077,-0.09968130953623275,-0.0705119040473294,0.025470008013581263,-0.014780366892986091,0.0478434348775213,-0.0954542998208349
normal__jointAngle_44__max,Right hip flexion,normal,Right,max,jointAngle_44,joint angle,,0.027052516555477687,0.09140257153687784,0.09080293464321482,-0.028639766201939042,-0.10291719719541503,0.10624588745160915,0.022879584773146888,-0.018549096203318453,-0.005086777883173915,-0.09942881964056731
normal__jointAngle_45__mean,Right knee adduction,normal,Right,mean,jointAngle_45,joint angle,,-0.02840914086159668,-0.06429233252953637,-0.08081556698910747,-0.08954438523668422,-0.07529831520603775,0.10320644910324521,-0.025985327665257504,0.03228079961833124,-0.09694309103587148,0.01756328604275961
normal__jointAngle_45__std,Right knee adduction,normal,Right,std,jointAngle_45,joint angle,,-0.011062434433341204,-0.051081649869263245,-0.003919160129529612,-0.006235520452517405,0.02104483186998246,-0.052386414432754255,-0.007189949105198104,0.10815043957777593,-0.09689270847209494,-0.028684826228387108
normal__jointAngle_45__min,Right knee adduction,normal,Right,min,jointAngle_45,joint angle,,-0.030111351454921283,-0.018790425888830526,-0.09025144829109434,-0.12379195568442758,-0.07538882743968836,0.10790657733982878,-0.06457087526278274,0.023584985513636546,-0.015447018406089677,-0.0054145756807162625
normal__jointAngle_45__max,Right knee adduction,normal,Right,max,jointAngle_45,joint angle,,-0.020079177637698235,-0.09235944292624901,-0.03837475407357893,-0.0783215432855556,-0.05974456846022626,0.052965290445716025,-0.07439519600983899,0.10167276018225581,-0.09766896987109172,-0.025234094238592665
normal__jointAngle_46__mean,Right knee internal rotation,normal,Right,mean,jointAngle_46,joint angle,,0.008820663184358039,0.027659640700700847,0.025574366711213395,-0.04226593375417094,0.10056477020062245,-0.01208420797538227,0.13288535607627452,0.025450784562222172,-0.019078402207344112,0.045445546160358674
normal__jointAngle_46__std,Right knee internal rotation,normal,Right,std,jointAngle_46,joint angle,,0.008606959132150599,-0.0540995745466594,0.05488647838844259,0.07564413504313906,-0.024847583076176998,-0.10396155299367288,0.03003863794943439,0.06418534049911637,-0.007425080454658352,0.10450876790244569
normal__jointAngle_46__min,Right knee internal rotation,normal,Right,min,jointAngle_46,joint angle,,0.0007328235582784746,0.07526249826837675,-0.06177265482817806,-0.05144379347551132,0.0872131757828986,0.04408904462438697,0.03770534498470846,0.004674884550144322,0.04809587168328963,-0.05967499539597025
normal__jointAngle_46__max,Right knee internal rotation,normal,Right,max,jointAngle_46,joint angle,,0.004734393363611897,-0.023341826062667267,0.05066572982689202,-0.010705893309453795,-0.0255433943622738,-0.08090619190677259,0.07801446139516122,0.017949175299133133,-0.06755461995744243,0.13785736137281213
normal__jointAngle_47__mean,Right knee flexion,normal,Right,mean,jointAngle_47,joint angle,,0.022910877138719355,-0.03428480175314575,0.042838853976164375,0.09617762645378006,0.10903494898584307,0.06691411462745496,0.13776691308600683,-0.050994015357284234,0.042701433036919687,0.0044774818601720345
normal__jointAngle_47__std,Right knee flexion,normal,Right,std,jointAngle_47,joint angle,,0.041985714130588825,-0.07078792445997893,0.041606623165755814,-0.010131611802725324,0.01452069700288246,0.053367939833650666,0.0940912817593431,0.0795977678470175,-0.03689319366322923,0.12151828584758805
normal__jointAngle_47__min,Right knee flexion,normal,Right,min,jointAngle_47,joint angle,,-0.01262955252871942,-0.03091964996409887,0.0005630356329567778,0.09867073683182744,0.09818491717107608,0.026233898116995655,0.06460977782929808,-0.1386966245362865,-0.014939039923228332,-0.030383830884917896
normal__jointAngle_47__max,Right knee flexion,normal,Right,max,jointAngle_47,joint angle,,0.0419295444896734,-0.06511873173768619,0.06260490619658098,0.06478983192792866,0.0481010602590854,0.08966286970097655,0.1293495834527368,0.032882186317384,-0.002256452251704865,0.09342745670271749
normal__jointAngle_48__mean,Right ankle adduction,normal,Right,mean,jointAngle_48,joint angle,,-0.023916961871268887,0.08265003162742035,0.002857658093097126,-0.11534206046226997,-0.016050296337198212,-0.03767316618959322,0.017876924357989193,0.16339723031389422,0.0947048581092493,-0.031112702802100836
normal__jointAngle_48__std,Right ankle adduction,normal,Right,std,jointAngle_48,joint angle,,-0.0038389492234226206,-0.05808694875915514,0.08071145492601808,0.08226793846178553,0.08037590380328673,0.020082373527916392,-0.0833276904872209,-0.010925393298483115,-0.154235613852113,-0.07525207004700726
